Homo_sapiens,Pan_troglodytes,Canis_lupus_familiaris,Equus_caballus,Bos_taurus,Gallus_gallus
100.0,100.0,89.52,88.57,90.48,87.62
100.0,100.0,89.52,88.57,90.48,87.62
89.52,89.52,100.0,94.29,97.14,90.48
88.57,88.57,94.29,100.0,97.14,89.52
90.48,90.48,97.14,97.14,100.0,91.43
87.62,87.62,90.48,89.52,91.43,100.0
